<Date>, <Time>, <Open>, <High>, <Low>, <Close>, <Volume>
2015/3/16,22:35:00,12565,12570,12545,12565,5076
2015/3/16,22:40:00,12560,12570,12560,12565,1504
2015/3/16,22:45:00,12565,12575,12560,12570,1578
2015/3/16,22:50:00,12565,12580,12565,12570,1158
2015/3/16,22:55:00,12570,12580,12550,12565,2114
2015/3/16,23:00:00,12560,12565,12540,12545,3472
2015/3/17,09:05:00,12560,12625,12550,12610,14796
2015/3/17,09:10:00,12610,12630,12605,12620,8820
2015/3/17,09:15:00,12615,12675,12615,12650,16328
2015/3/17,09:20:00,12650,12660,12640,12640,7442
2015/3/17,09:25:00,12640,12645,12615,12640,6878
2015/3/17,09:30:00,12635,12640,12615,12615,5282
2015/3/17,09:35:00,12615,12615,12510,12525,26430
2015/3/17,09:40:00,12520,12550,12500,12515,13452
2015/3/17,09:45:00,12510,12565,12505,12565,9792
2015/3/17,09:50:00,12565,12570,12545,12545,3686
2015/3/17,09:55:00,12545,12570,12545,12555,2764
2015/3/17,10:00:00,12560,12575,12545,12555,3526
2015/3/17,10:05:00,12560,12560,12530,12550,3936
2015/3/17,10:10:00,12545,12555,12540,12550,1856
2015/3/17,10:15:00,12550,12565,12545,12560,2382
2015/3/17,10:35:00,12565,12580,12560,12570,3438
2015/3/17,10:40:00,12570,12615,12570,12610,9454
2015/3/17,10:45:00,12610,12645,12605,12630,15262
2015/3/17,10:50:00,12630,12635,12605,12605,5160
2015/3/17,10:55:00,12605,12630,12605,12620,3344
2015/3/17,11:00:00,12620,12635,12610,12620,3616
2015/3/17,11:05:00,12620,12645,12615,12635,3604
2015/3/17,11:10:00,12640,12645,12620,12620,4084
2015/3/17,11:15:00,12620,12630,12605,12620,3658
2015/3/17,11:20:00,12620,12630,12610,12615,2110
2015/3/17,11:25:00,12615,12630,12610,12620,1596
2015/3/17,11:30:00,12620,12625,12610,12615,2422
2015/3/17,13:35:00,12670,12715,12635,12650,34632
2015/3/17,13:40:00,12645,12650,12615,12640,12216
2015/3/17,13:45:00,12640,12645,12585,12585,8092
2015/3/17,13:50:00,12590,12590,12550,12555,16478
2015/3/17,13:55:00,12560,12585,12555,12565,6716
2015/3/17,14:00:00,12565,12580,12550,12570,4958
2015/3/17,14:05:00,12565,12580,12550,12565,4142
2015/3/17,14:10:00,12560,12575,12540,12555,5562
2015/3/17,14:15:00,12550,12570,12540,12555,4996
2015/3/17,14:20:00,12555,12560,12525,12555,8798
2015/3/17,14:25:00,12560,12570,12555,12560,3174
2015/3/17,14:30:00,12560,12575,12545,12545,4624
2015/3/17,14:35:00,12545,12560,12540,12555,3664
2015/3/17,14:40:00,12550,12555,12540,12555,2090
2015/3/17,14:45:00,12550,12575,12550,12565,2968
2015/3/17,14:50:00,12570,12575,12555,12555,3640
2015/3/17,14:55:00,12555,12560,12545,12555,3108
2015/3/17,15:00:00,12560,12570,12535,12555,9746
2015/3/17,21:05:00,12515,12540,12500,12530,7928
2015/3/17,21:10:00,12530,12535,12480,12515,10164
2015/3/17,21:15:00,12510,12525,12500,12520,3524
2015/3/17,21:20:00,12525,12540,12515,12530,4360
2015/3/17,21:25:00,12535,12535,12520,12525,1474
2015/3/17,21:30:00,12530,12535,12520,12525,1508
2015/3/17,21:35:00,12530,12530,12520,12520,896
2015/3/17,21:40:00,12525,12540,12520,12520,2132
2015/3/17,21:45:00,12520,12530,12520,12520,1154
2015/3/17,21:50:00,12525,12545,12520,12535,2502
2015/3/17,21:55:00,12535,12550,12530,12540,1964
2015/3/17,22:00:00,12540,12550,12530,12550,1842
2015/3/17,22:05:00,12550,12550,12525,12525,1652
2015/3/17,22:10:00,12530,12530,12510,12510,2446
2015/3/17,22:15:00,12515,12530,12510,12515,2028
2015/3/17,22:20:00,12520,12520,12500,12500,2500
2015/3/17,22:25:00,12500,12515,12495,12510,2354
2015/3/17,22:30:00,12505,12520,12500,12510,1520
2015/3/17,22:35:00,12505,12520,12495,12500,2156
2015/3/17,22:40:00,12495,12505,12450,12475,9140
2015/3/17,22:45:00,12475,12475,12455,12475,3922
2015/3/17,22:50:00,12470,12485,12470,12480,2148
2015/3/17,22:55:00,12470,12480,12455,12460,2284
2015/3/17,23:00:00,12460,12475,12450,12465,4252
2015/3/18,09:05:00,12465,12510,12445,12510,16576
2015/3/18,09:10:00,12510,12545,12500,12530,15070
2015/3/18,09:15:00,12530,12540,12485,12485,6962
2015/3/18,09:20:00,12490,12495,12380,12410,23340
2015/3/18,09:25:00,12415,12550,12405,12540,23970
2015/3/18,09:30:00,12540,12555,12520,12550,13286
2015/3/18,09:35:00,12545,12590,12545,12550,19902
2015/3/18,09:40:00,12550,12560,12535,12535,5242
2015/3/18,09:45:00,12540,12550,12535,12545,2200
2015/3/18,09:50:00,12550,12560,12535,12540,2976
2015/3/18,09:55:00,12540,12565,12535,12565,3794
2015/3/18,10:00:00,12565,12580,12560,12560,5134
2015/3/18,10:05:00,12560,12565,12540,12555,2828
2015/3/18,10:10:00,12555,12565,12545,12555,1986
2015/3/18,10:15:00,12555,12560,12540,12550,1800
2015/3/18,10:35:00,12550,12555,12530,12530,2558
2015/3/18,10:40:00,12530,12540,12520,12525,4976
2015/3/18,10:45:00,12525,12525,12475,12510,12054
2015/3/18,10:50:00,12515,12515,12490,12500,4350
2015/3/18,10:55:00,12500,12520,12495,12510,3136
2015/3/18,11:00:00,12510,12520,12485,12485,4174
2015/3/18,11:05:00,12480,12505,12460,12475,5744
2015/3/18,11:10:00,12475,12495,12460,12480,4178
2015/3/18,11:15:00,12480,12495,12480,12495,2054
2015/3/18,11:20:00,12495,12500,12470,12475,2236
2015/3/18,11:25:00,12475,12505,12470,12500,3314
2015/3/18,11:30:00,12500,12500,12485,12490,2410
2015/3/18,13:35:00,12465,12475,12430,12440,14606
2015/3/18,13:40:00,12445,12460,12430,12450,6972
2015/3/18,13:45:00,12445,12450,12420,12440,7444
2015/3/18,13:50:00,12440,12445,12410,12435,7896
2015/3/18,13:55:00,12435,12455,12425,12445,4176
2015/3/18,14:00:00,12445,12450,12430,12445,2820
2015/3/18,14:05:00,12450,12450,12430,12445,2608
2015/3/18,14:10:00,12450,12455,12430,12430,2090
2015/3/18,14:15:00,12435,12440,12415,12420,3896
2015/3/18,14:20:00,12420,12440,12415,12435,3208
2015/3/18,14:25:00,12435,12455,12430,12440,3724
2015/3/18,14:30:00,12440,12455,12435,12435,2500
2015/3/18,14:35:00,12435,12445,12420,12430,3008
2015/3/18,14:40:00,12430,12455,12430,12435,4286
2015/3/18,14:45:00,12435,12480,12430,12475,6160
2015/3/18,14:50:00,12470,12530,12460,12520,17606
2015/3/18,14:55:00,12515,12525,12490,12500,6850
2015/3/18,15:00:00,12505,12520,12490,12495,9474
2015/3/18,21:05:00,12465,12490,12440,12450,10948
2015/3/18,21:10:00,12445,12475,12430,12470,6692
2015/3/18,21:15:00,12470,12475,12450,12465,4252
2015/3/18,21:20:00,12465,12470,12460,12465,1594
2015/3/18,21:25:00,12460,12475,12455,12465,2364
2015/3/18,21:30:00,12470,12475,12460,12465,1746
2015/3/18,21:35:00,12470,12470,12460,12465,1180
2015/3/18,21:40:00,12465,12470,12465,12470,492
2015/3/18,21:45:00,12470,12475,12450,12455,3004
2015/3/18,21:50:00,12455,12460,12450,12455,1168
2015/3/18,21:55:00,12455,12490,12450,12485,3794
2015/3/18,22:00:00,12485,12490,12470,12470,3190
2015/3/18,22:05:00,12470,12475,12455,12470,3348
2015/3/18,22:10:00,12470,12475,12460,12465,1126
2015/3/18,22:15:00,12460,12475,12460,12470,852
2015/3/18,22:20:00,12470,12485,12470,12475,1948
2015/3/18,22:25:00,12470,12485,12470,12480,2434
2015/3/18,22:30:00,12480,12500,12475,12485,3918
2015/3/18,22:35:00,12490,12505,12475,12480,3526
2015/3/18,22:40:00,12480,12490,12475,12485,1176
2015/3/18,22:45:00,12485,12510,12485,12510,2640
2015/3/18,22:50:00,12510,12530,12505,12515,7804
2015/3/18,22:55:00,12515,12530,12515,12525,3356
2015/3/18,23:00:00,12525,12540,12515,12535,6314
2015/3/19,09:05:00,12595,12655,12590,12640,33382
2015/3/19,09:10:00,12640,12660,12615,12645,15872
2015/3/19,09:15:00,12645,12665,12620,12650,13220
2015/3/19,09:20:00,12655,12670,12605,12610,13340
2015/3/19,09:25:00,12615,12620,12590,12605,12618
2015/3/19,09:30:00,12605,12610,12575,12595,9130
2015/3/19,09:35:00,12590,12600,12560,12570,7316
2015/3/19,09:40:00,12570,12580,12555,12575,6118
2015/3/19,09:45:00,12575,12595,12575,12585,4044
2015/3/19,09:50:00,12580,12595,12570,12595,3154
2015/3/19,09:55:00,12595,12600,12575,12575,3936
2015/3/19,10:00:00,12575,12595,12575,12580,3214
2015/3/19,10:05:00,12575,12600,12575,12600,2596
2015/3/19,10:10:00,12600,12600,12580,12585,2194
2015/3/19,10:15:00,12580,12590,12570,12570,2316
2015/3/19,10:35:00,12565,12585,12555,12570,6918
2015/3/19,10:40:00,12575,12580,12570,12580,1158
2015/3/19,10:45:00,12580,12585,12565,12565,2336
2015/3/19,10:50:00,12565,12580,12560,12570,2716
2015/3/19,10:55:00,12575,12575,12550,12575,4260
2015/3/19,11:00:00,12570,12590,12570,12580,2948
2015/3/19,11:05:00,12585,12595,12580,12585,2632
2015/3/19,11:10:00,12590,12590,12570,12575,1604
2015/3/19,11:15:00,12575,12595,12565,12585,3906
2015/3/19,11:20:00,12590,12590,12570,12575,2142
2015/3/19,11:25:00,12575,12580,12565,12570,1500
2015/3/19,11:30:00,12575,12580,12560,12570,2476
2015/3/19,13:35:00,12560,12575,12555,12565,5002
2015/3/19,13:40:00,12565,12575,12515,12520,17132
2015/3/19,13:45:00,12520,12535,12515,12520,3798
2015/3/19,13:50:00,12520,12535,12510,12520,5736
2015/3/19,13:55:00,12520,12535,12510,12535,3578
2015/3/19,14:00:00,12535,12540,12525,12535,3244
2015/3/19,14:05:00,12530,12540,12520,12520,1960
2015/3/19,14:10:00,12520,12540,12515,12535,3304
2015/3/19,14:15:00,12540,12560,12535,12560,4750
2015/3/19,14:20:00,12560,12565,12545,12555,3978
2015/3/19,14:25:00,12555,12570,12550,12555,2804
2015/3/19,14:30:00,12560,12570,12555,12555,2362
2015/3/19,14:35:00,12560,12565,12545,12550,2284
2015/3/19,14:40:00,12545,12565,12545,12560,2648
2015/3/19,14:45:00,12555,12580,12555,12575,6116
2015/3/19,14:50:00,12580,12580,12565,12565,2788
2015/3/19,14:55:00,12565,12575,12550,12555,3256
2015/3/19,15:00:00,12555,12560,12530,12540,9238
2015/3/19,21:05:00,12555,12560,12520,12535,7034
2015/3/19,21:10:00,12530,12570,12530,12570,6072
2015/3/19,21:15:00,12570,12570,12550,12555,3270
2015/3/19,21:20:00,12555,12565,12550,12555,2026
2015/3/19,21:25:00,12560,12595,12555,12580,7162
2015/3/19,21:30:00,12580,12585,12570,12575,1886
2015/3/19,21:35:00,12575,12595,12570,12595,4148
2015/3/19,21:40:00,12595,12595,12580,12580,1908
2015/3/19,21:45:00,12585,12585,12575,12580,1696
2015/3/19,21:50:00,12580,12595,12580,12590,2080
2015/3/19,21:55:00,12590,12595,12575,12585,2690
2015/3/19,22:00:00,12585,12595,12580,12585,1168
2015/3/19,22:05:00,12590,12595,12580,12585,1516
2015/3/19,22:10:00,12580,12590,12580,12590,620
2015/3/19,22:15:00,12585,12590,12575,12585,2062
2015/3/19,22:20:00,12585,12590,12580,12585,1074
2015/3/19,22:25:00,12585,12590,12580,12585,658
2015/3/19,22:30:00,12585,12585,12575,12575,1196
2015/3/19,22:35:00,12580,12580,12555,12560,3996
2015/3/19,22:40:00,12560,12570,12555,12560,2936
2015/3/19,22:45:00,12555,12565,12550,12555,2544
2015/3/19,22:50:00,12560,12570,12555,12560,1444
2015/3/19,22:55:00,12565,12565,12550,12555,1896
2015/3/19,23:00:00,12555,12565,12545,12555,3296
2015/3/20,09:05:00,12580,12620,12565,12605,18762
2015/3/20,09:10:00,12600,12615,12585,12590,8010
2015/3/20,09:15:00,12585,12600,12570,12575,6940
2015/3/20,09:20:00,12570,12585,12550,12550,4736
2015/3/20,09:25:00,12550,12600,12550,12585,7340
2015/3/20,09:30:00,12585,12620,12580,12615,6520
2015/3/20,09:35:00,12620,12630,12605,12615,8074
2015/3/20,09:40:00,12615,12615,12575,12580,5464
2015/3/20,09:45:00,12585,12590,12565,12580,5812
2015/3/20,09:50:00,12580,12585,12570,12575,2712
2015/3/20,09:55:00,12575,12580,12565,12575,1422
2015/3/20,10:00:00,12580,12585,12575,12585,1688
2015/3/20,10:05:00,12585,12585,12565,12580,1894
2015/3/20,10:10:00,12580,12600,12570,12590,3638
2015/3/20,10:15:00,12595,12600,12585,12590,2116
2015/3/20,10:35:00,12595,12600,12580,12585,2662
2015/3/20,10:40:00,12585,12585,12575,12580,2132
2015/3/20,10:45:00,12585,12590,12575,12585,1474
2015/3/20,10:50:00,12590,12590,12565,12575,3604
2015/3/20,10:55:00,12575,12580,12560,12575,3230
2015/3/20,11:00:00,12570,12575,12535,12540,9036
2015/3/20,11:05:00,12545,12550,12490,12510,20404
2015/3/20,11:10:00,12515,12530,12500,12510,7382
2015/3/20,11:15:00,12510,12530,12495,12520,6514
2015/3/20,11:20:00,12520,12525,12510,12520,2436
2015/3/20,11:25:00,12520,12520,12480,12480,9372
2015/3/20,11:30:00,12480,12485,12450,12460,14476
2015/3/20,13:35:00,12470,12490,12430,12440,16854
2015/3/20,13:40:00,12435,12465,12435,12445,6042
2015/3/20,13:45:00,12445,12455,12405,12425,12874
2015/3/20,13:50:00,12425,12435,12420,12425,5306
2015/3/20,13:55:00,12430,12455,12425,12450,5706
2015/3/20,14:00:00,12450,12465,12445,12455,6454
2015/3/20,14:05:00,12450,12475,12440,12470,7116
2015/3/20,14:10:00,12470,12480,12455,12460,7112
2015/3/20,14:15:00,12460,12480,12450,12480,5510
2015/3/20,14:20:00,12480,12490,12455,12465,7414
2015/3/20,14:25:00,12470,12470,12460,12470,2108
2015/3/20,14:30:00,12470,12505,12465,12495,8182
2015/3/20,14:35:00,12500,12520,12490,12505,8686
2015/3/20,14:40:00,12505,12545,12505,12540,10492
2015/3/20,14:45:00,12540,12570,12535,12540,16010
2015/3/20,14:50:00,12545,12575,12535,12570,8690
2015/3/20,14:55:00,12575,12585,12550,12555,12648
2015/3/20,15:00:00,12555,12560,12540,12560,10246
2015/3/20,21:05:00,12610,12630,12580,12585,13310
2015/3/20,21:10:00,12580,12640,12580,12615,11686
2015/3/20,21:15:00,12615,12650,12610,12635,8314
2015/3/20,21:20:00,12635,12670,12635,12660,9886
2015/3/20,21:25:00,12660,12665,12640,12650,4064
2015/3/20,21:30:00,12645,12660,12645,12650,2694
2015/3/20,21:35:00,12645,12655,12625,12630,3414
2015/3/20,21:40:00,12625,12640,12625,12625,2692
2015/3/20,21:45:00,12625,12635,12620,12625,1792
2015/3/20,21:50:00,12625,12635,12610,12635,4308
2015/3/20,21:55:00,12635,12640,12620,12620,2556
2015/3/20,22:00:00,12625,12650,12620,12645,2722
2015/3/20,22:05:00,12650,12650,12635,12635,1712
2015/3/20,22:10:00,12640,12645,12635,12645,1126
2015/3/20,22:15:00,12645,12660,12640,12650,3080
2015/3/20,22:20:00,12650,12660,12630,12650,3428
2015/3/20,22:25:00,12650,12655,12640,12640,2070
2015/3/20,22:30:00,12645,12660,12635,12660,2696
2015/3/20,22:35:00,12660,12710,12660,12690,13670
2015/3/20,22:40:00,12690,12690,12650,12685,6008
2015/3/20,22:45:00,12690,12695,12680,12685,2532
2015/3/20,22:50:00,12685,12710,12680,12705,3796
2015/3/20,22:55:00,12710,12745,12710,12740,10262
2015/3/20,23:00:00,12740,12780,12735,12770,15952
2015/3/23,09:05:00,12785,12860,12780,12815,38008
2015/3/23,09:10:00,12820,12860,12770,12800,22968
2015/3/23,09:15:00,12800,12815,12745,12755,20672
2015/3/23,09:20:00,12755,12795,12750,12780,10242
2015/3/23,09:25:00,12785,12815,12775,12815,7884
2015/3/23,09:30:00,12815,12850,12805,12840,13458
2015/3/23,09:35:00,12845,12880,12840,12850,18514
2015/3/23,09:40:00,12850,12870,12810,12870,10812
2015/3/23,09:45:00,12870,12895,12850,12850,13154
2015/3/23,09:50:00,12855,12950,12855,12945,27208
2015/3/23,09:55:00,12945,13030,12925,12960,34018
2015/3/23,10:00:00,12960,12980,12935,12970,13768
2015/3/23,10:05:00,12970,12985,12945,12955,8818
2015/3/23,10:10:00,12950,12960,12925,12950,6988
2015/3/23,10:15:00,12950,12950,12920,12930,6280
2015/3/23,10:35:00,12930,12930,12905,12925,6734
2015/3/23,10:40:00,12920,12950,12920,12945,3444
2015/3/23,10:45:00,12945,12950,12915,12945,4050
2015/3/23,10:50:00,12945,12980,12940,12975,6342
2015/3/23,10:55:00,12980,12980,12935,12940,5914
2015/3/23,11:00:00,12940,12965,12940,12960,3712
2015/3/23,11:05:00,12960,12975,12945,12965,4374
2015/3/23,11:10:00,12965,13005,12965,13005,12916
2015/3/23,11:15:00,13000,13080,12985,12990,28266
2015/3/23,11:20:00,12995,12995,12965,12980,10100
2015/3/23,11:25:00,12980,12995,12980,12990,4410
2015/3/23,11:30:00,12985,12990,12955,12970,7062
2015/3/23,13:35:00,12965,12970,12945,12965,7568
2015/3/23,13:40:00,12960,12960,12935,12950,7372
2015/3/23,13:45:00,12950,12970,12945,12960,3510
2015/3/23,13:50:00,12960,12970,12940,12950,3520
2015/3/23,13:55:00,12950,12960,12940,12940,2596
2015/3/23,14:00:00,12945,12945,12920,12935,5630
2015/3/23,14:05:00,12935,12970,12930,12960,4606
2015/3/23,14:10:00,12960,12980,12940,12945,4918
2015/3/23,14:15:00,12945,12960,12940,12960,2046
2015/3/23,14:20:00,12960,12975,12955,12965,3050
2015/3/23,14:25:00,12965,12990,12965,12990,6384
2015/3/23,14:30:00,12990,13000,12970,12990,3708
2015/3/23,14:35:00,12990,13010,12975,13000,6564
2015/3/23,14:40:00,12995,13000,12925,12940,14482
2015/3/23,14:45:00,12940,12950,12930,12935,3804
2015/3/23,14:50:00,12935,12950,12915,12950,7138
2015/3/23,14:55:00,12945,12955,12935,12935,4962
2015/3/23,15:00:00,12935,12995,12930,12990,12178
2015/3/23,21:05:00,13050,13050,12960,12980,9758
2015/3/23,21:10:00,12985,13045,12980,13025,9052
2015/3/23,21:15:00,13030,13045,13020,13025,5710
2015/3/23,21:20:00,13025,13060,13025,13035,5756
2015/3/23,21:25:00,13035,13055,13035,13050,4270
2015/3/23,21:30:00,13055,13095,13045,13075,12196
2015/3/23,21:35:00,13075,13080,13060,13070,4398
2015/3/23,21:40:00,13065,13145,13065,13145,13982
2015/3/23,21:45:00,13140,13200,13130,13175,14594
2015/3/23,21:50:00,13180,13185,13130,13145,9440
2015/3/23,21:55:00,13145,13170,13140,13150,5090
2015/3/23,22:00:00,13145,13150,13130,13150,4146
2015/3/23,22:05:00,13155,13155,13130,13140,3992
2015/3/23,22:10:00,13140,13160,13140,13155,4270
2015/3/23,22:15:00,13150,13160,13140,13155,2788
2015/3/23,22:20:00,13155,13160,13140,13160,1670
2015/3/23,22:25:00,13160,13165,13145,13155,4092
2015/3/23,22:30:00,13155,13155,13135,13145,3030
2015/3/23,22:35:00,13150,13160,13140,13145,2882
2015/3/23,22:40:00,13145,13155,13140,13145,1910
2015/3/23,22:45:00,13145,13180,13145,13170,6140
2015/3/23,22:50:00,13175,13205,13165,13170,10040
2015/3/23,22:55:00,13170,13190,13165,13185,2850
2015/3/23,23:00:00,13190,13215,13185,13210,8290
2015/3/24,09:05:00,13220,13270,13175,13180,32164
2015/3/24,09:10:00,13175,13205,13175,13175,10452
2015/3/24,09:15:00,13175,13180,13135,13155,14020
2015/3/24,09:20:00,13150,13170,13135,13145,7640
2015/3/24,09:25:00,13150,13175,13115,13120,9678
2015/3/24,09:30:00,13120,13130,13050,13055,26400
2015/3/24,09:35:00,13050,13075,13040,13060,16718
2015/3/24,09:40:00,13065,13085,13060,13075,6608
2015/3/24,09:45:00,13080,13080,13045,13050,7012
2015/3/24,09:50:00,13050,13080,13035,13070,7018
2015/3/24,09:55:00,13070,13090,13065,13070,5632
2015/3/24,10:00:00,13070,13080,13050,13065,5058
2015/3/24,10:05:00,13070,13080,13055,13060,4468
2015/3/24,10:10:00,13060,13095,13055,13085,5160
2015/3/24,10:15:00,13080,13115,13080,13110,7226
2015/3/24,10:35:00,13105,13110,13085,13110,3738
2015/3/24,10:40:00,13105,13145,13100,13140,7576
2015/3/24,10:45:00,13140,13170,13140,13150,13306
2015/3/24,10:50:00,13145,13150,13100,13115,8612
2015/3/24,10:55:00,13120,13120,13060,13080,9512
2015/3/24,11:00:00,13080,13095,13065,13070,5248
2015/3/24,11:05:00,13080,13095,13060,13070,3984
2015/3/24,11:10:00,13070,13075,13035,13055,11010
2015/3/24,11:15:00,13055,13070,13045,13050,3864
2015/3/24,11:20:00,13050,13055,13005,13025,14440
2015/3/24,11:25:00,13025,13030,12950,13015,20870
2015/3/24,11:30:00,13015,13050,13010,13040,8650
2015/3/24,13:35:00,13045,13065,13030,13065,7654
2015/3/24,13:40:00,13065,13070,13030,13030,4514
2015/3/24,13:45:00,13035,13045,13010,13035,5664
2015/3/24,13:50:00,13035,13045,13020,13030,4594
2015/3/24,13:55:00,13035,13050,13025,13045,3698
2015/3/24,14:00:00,13040,13065,13040,13060,4072
2015/3/24,14:05:00,13060,13085,13040,13080,6020
2015/3/24,14:10:00,13085,13095,13065,13090,8982
2015/3/24,14:15:00,13090,13110,13065,13110,6480
2015/3/24,14:20:00,13115,13140,13105,13130,10950
2015/3/24,14:25:00,13130,13150,13070,13080,14422
2015/3/24,14:30:00,13080,13100,13080,13100,3552
2015/3/24,14:35:00,13100,13120,13095,13100,5356
2015/3/24,14:40:00,13100,13110,13095,13105,3464
2015/3/24,14:45:00,13105,13130,13105,13105,5348
2015/3/24,14:50:00,13110,13145,13075,13085,12478
2015/3/24,14:55:00,13085,13105,13065,13095,8726
2015/3/24,15:00:00,13095,13095,13050,13050,12104
2015/3/24,21:05:00,13050,13070,13005,13010,13962
2015/3/24,21:10:00,13010,13040,13010,13025,6366
2015/3/24,21:15:00,13025,13025,12990,13005,8910
2015/3/24,21:20:00,13005,13015,12975,12975,7582
2015/3/24,21:25:00,12980,12990,12955,12985,10098
2015/3/24,21:30:00,12985,13005,12980,12995,6088
2015/3/24,21:35:00,13000,13000,12970,12985,4938
2015/3/24,21:40:00,12985,12990,12965,12965,3802
2015/3/24,21:45:00,12965,12970,12920,12965,12428
2015/3/24,21:50:00,12965,12995,12930,12935,9192
2015/3/24,21:55:00,12940,12960,12935,12955,6098
2015/3/24,22:00:00,12955,12970,12950,12955,3524
2015/3/24,22:05:00,12960,12965,12940,12960,4902
2015/3/24,22:10:00,12960,12975,12955,12970,3818
2015/3/24,22:15:00,12970,12980,12960,12975,2814
2015/3/24,22:20:00,12980,12980,12950,12960,5214
2015/3/24,22:25:00,12960,12965,12940,12945,5328
2015/3/24,22:30:00,12945,12975,12945,12970,3402
2015/3/24,22:35:00,12975,12985,12960,12975,3408
2015/3/24,22:40:00,12980,12995,12975,12990,4918
2015/3/24,22:45:00,12990,12990,12975,12975,2842
2015/3/24,22:50:00,12980,12980,12965,12975,1890
2015/3/24,22:55:00,12975,12990,12970,12980,2214
2015/3/24,23:00:00,12975,12980,12945,12955,6834
2015/3/25,09:05:00,12960,13025,12950,13010,22302
2015/3/25,09:10:00,13010,13035,12990,13000,11086
2015/3/25,09:15:00,13000,13020,12995,13005,6928
2015/3/25,09:20:00,13000,13005,12945,12975,14142
2015/3/25,09:25:00,12970,12975,12950,12960,4160
2015/3/25,09:30:00,12960,12985,12955,12985,4636
2015/3/25,09:35:00,12985,13000,12980,12990,5224
2015/3/25,09:40:00,12995,13045,12990,13035,11178
2015/3/25,09:45:00,13035,13095,13025,13090,19410
2015/3/25,09:50:00,13090,13090,13050,13055,8690
2015/3/25,09:55:00,13055,13065,13040,13050,5284
2015/3/25,10:00:00,13050,13075,13050,13075,3016
2015/3/25,10:05:00,13075,13085,13025,13030,8490
2015/3/25,10:10:00,13030,13035,13025,13030,3424
2015/3/25,10:15:00,13030,13040,13000,13000,3330
2015/3/25,10:35:00,13000,13005,12975,12990,8538
2015/3/25,10:40:00,12995,12995,12970,12995,6028
2015/3/25,10:45:00,12990,13015,12985,13010,2968
2015/3/25,10:50:00,13010,13015,13000,13000,2142
2015/3/25,10:55:00,13000,13005,12960,12960,6076
2015/3/25,11:00:00,12960,12975,12950,12955,7466
2015/3/25,11:05:00,12955,12960,12920,12960,11842
2015/3/25,11:10:00,12960,12970,12945,12955,3518
2015/3/25,11:15:00,12955,12970,12945,12955,2678
2015/3/25,11:20:00,12955,12960,12920,12935,7096
2015/3/25,11:25:00,12935,12970,12935,12965,4440
2015/3/25,11:30:00,12960,12965,12940,12940,3542
2015/3/25,13:35:00,12930,12935,12885,12900,14710
2015/3/25,13:40:00,12905,12955,12905,12945,6642
2015/3/25,13:45:00,12945,12960,12935,12960,4374
2015/3/25,13:50:00,12955,12980,12950,12975,4046
2015/3/25,13:55:00,12975,12985,12960,12965,5808
2015/3/25,14:00:00,12970,12980,12945,12980,4098
2015/3/25,14:05:00,12980,12995,12970,12985,6810
2015/3/25,14:10:00,12985,12995,12955,12965,4776
2015/3/25,14:15:00,12965,12990,12955,12985,3898
2015/3/25,14:20:00,12985,12995,12975,12980,4138
2015/3/25,14:25:00,12985,12985,12955,12960,4654
2015/3/25,14:30:00,12960,13000,12950,12995,7208
2015/3/25,14:35:00,12995,13000,12975,12975,3596
2015/3/25,14:40:00,12975,12980,12965,12975,2678
2015/3/25,14:45:00,12975,12985,12955,12975,3592
2015/3/25,14:50:00,12980,12980,12950,12965,4972
2015/3/25,14:55:00,12970,12975,12955,12975,3604
2015/3/25,15:00:00,12975,12980,12925,12930,10732
2015/3/25,21:05:00,12980,13005,12955,12955,11714
2015/3/25,21:10:00,12950,13010,12950,13005,7174
2015/3/25,21:15:00,13005,13045,12995,13040,11498
2015/3/25,21:20:00,13040,13055,13030,13040,7718
2015/3/25,21:25:00,13035,13065,13030,13035,7400
2015/3/25,21:30:00,13035,13055,13030,13050,3872
2015/3/25,21:35:00,13050,13050,13025,13035,3990
2015/3/25,21:40:00,13035,13045,13030,13035,1980
2015/3/25,21:45:00,13035,13035,13020,13030,2652
2015/3/25,21:50:00,13030,13035,13025,13030,1492
2015/3/25,21:55:00,13025,13045,13025,13040,2202
2015/3/25,22:00:00,13040,13045,13035,13040,1530
2015/3/25,22:05:00,13045,13055,13040,13045,2732
2015/3/25,22:10:00,13045,13050,13035,13040,2018
2015/3/25,22:15:00,13035,13040,13030,13035,1574
2015/3/25,22:20:00,13035,13045,13030,13045,1380
2015/3/25,22:25:00,13045,13055,13040,13050,2304
2015/3/25,22:30:00,13050,13060,13040,13045,2620
2015/3/25,22:35:00,13045,13045,13005,13005,7054
2015/3/25,22:40:00,13010,13010,12985,12990,7200
2015/3/25,22:45:00,12990,12995,12970,12985,5816
2015/3/25,22:50:00,12990,12995,12960,12980,4316
2015/3/25,22:55:00,12980,12990,12975,12985,2402
2015/3/25,23:00:00,12985,13005,12985,13000,3782
2015/3/26,09:05:00,13030,13050,12985,13000,16866
2015/3/26,09:10:00,12995,13005,12935,12945,15928
2015/3/26,09:15:00,12945,12950,12920,12940,12808
2015/3/26,09:20:00,12935,12965,12920,12960,6404
2015/3/26,09:25:00,12955,12955,12930,12930,4318
2015/3/26,09:30:00,12930,12955,12925,12930,4170
2015/3/26,09:35:00,12925,12945,12915,12940,6652
2015/3/26,09:40:00,12940,12955,12930,12945,3212
2015/3/26,09:45:00,12945,12960,12930,12935,5242
