<Date>, <Time>, <Open>, <High>, <Low>, <Close>, <Volume>
2014/5/6,09:15:00,14190,14250,14180,14215,20688
2014/5/6,09:20:00,14215,14220,14185,14200,11144
2014/5/6,09:25:00,14200,14205,14160,14170,14116
2014/5/6,09:30:00,14175,14195,14165,14185,11666
2014/5/6,09:35:00,14180,14195,14170,14190,8970
2014/5/6,09:40:00,14185,14220,14180,14215,9768
2014/5/6,09:45:00,14215,14220,14190,14200,9728
2014/5/6,09:50:00,14190,14200,14180,14180,6866
2014/5/6,09:55:00,14185,14195,14165,14190,9012
2014/5/6,10:00:00,14185,14195,14165,14175,7186
2014/5/6,10:05:00,14175,14175,14135,14135,17988
2014/5/6,10:10:00,14140,14155,14125,14135,13420
2014/5/6,10:15:00,14130,14155,14120,14125,10866
2014/5/6,10:35:00,14125,14130,14105,14120,14372
2014/5/6,10:40:00,14115,14130,14105,14125,8834
2014/5/6,10:45:00,14125,14135,14105,14105,8552
2014/5/6,10:50:00,14105,14150,14100,14135,14590
2014/5/6,10:55:00,14135,14140,14125,14130,6126
2014/5/6,11:00:00,14130,14135,14100,14100,10824
2014/5/6,11:05:00,14100,14110,14090,14105,12352
2014/5/6,11:10:00,14105,14125,14095,14115,8250
2014/5/6,11:15:00,14110,14120,14100,14105,4046
2014/5/6,11:20:00,14105,14125,14105,14110,5116
2014/5/6,11:25:00,14110,14135,14100,14120,9838
2014/5/6,11:30:00,14120,14130,14060,14060,20560
2014/5/6,13:35:00,14075,14080,14055,14065,13936
2014/5/6,13:40:00,14065,14065,14030,14030,16280
2014/5/6,13:45:00,14030,14050,14025,14030,12334
2014/5/6,13:50:00,14025,14060,14020,14045,11626
2014/5/6,13:55:00,14045,14065,14040,14060,10034
2014/5/6,14:00:00,14055,14060,14040,14045,7932
2014/5/6,14:05:00,14045,14095,14035,14075,20190
2014/5/6,14:10:00,14075,14080,14060,14065,6388
2014/5/6,14:15:00,14065,14080,14055,14055,6446
2014/5/6,14:20:00,14055,14070,14050,14065,5368
2014/5/6,14:25:00,14065,14075,14060,14070,4594
2014/5/6,14:30:00,14065,14075,14050,14065,6216
2014/5/6,14:35:00,14060,14065,14040,14050,8616
2014/5/6,14:40:00,14050,14075,14045,14065,7994
2014/5/6,14:45:00,14065,14075,14060,14065,5048
2014/5/6,14:50:00,14065,14065,14045,14060,12036
2014/5/6,14:55:00,14060,14080,14040,14055,17838
2014/5/6,15:00:00,14055,14085,14055,14085,29658
2014/5/7,09:05:00,13960,14020,13935,14005,55388
2014/5/7,09:10:00,14005,14030,13990,14025,21062
2014/5/7,09:15:00,14025,14085,14005,14085,27640
2014/5/7,09:20:00,14085,14100,14015,14025,27190
2014/5/7,09:25:00,14025,14055,14025,14045,10154
2014/5/7,09:30:00,14045,14045,14025,14040,6146
2014/5/7,09:35:00,14040,14060,14035,14035,8024
2014/5/7,09:40:00,14035,14055,14035,14050,4638
2014/5/7,09:45:00,14055,14065,14035,14045,7948
2014/5/7,09:50:00,14050,14050,14030,14040,5780
2014/5/7,09:55:00,14035,14040,14010,14020,11548
2014/5/7,10:00:00,14025,14050,14020,14050,7202
2014/5/7,10:05:00,14045,14055,14035,14040,6990
2014/5/7,10:10:00,14040,14075,14040,14055,9544
2014/5/7,10:15:00,14060,14065,14050,14060,3950
